Mart A — PostgreSQL | Table: equipment											
Master registry of all physical manufacturing equipment at the Lexington site. Site-local IDs (LEX- prefix). No SCD — overwritten in place. Status values: active | inactive | under_maintenance | retired.											
equip_id	equip_name	asset_type	manufacturer	model_number	install_date	calibration_due	last_calibrated	status	line_id	building	updated_at
LEX-RCTR-01	Bioreactor 1 North Wing	Bioreactor	Sartorius	BIOSTAT-STR-200	2023-03-15	2026-09-01	2026-03-01	active	LINE-A	Building-1	2026-07-01 08:00
LEX-RCTR-02	Bioreactor 2 North Wing	Bioreactor	Sartorius	BIOSTAT-STR-200	2023-03-15	2026-09-15	2026-03-15	active	LINE-A	Building-1	2026-07-01 08:00
LEX-RCTR-03	Bioreactor 3 South Wing	Bioreactor	Thermo Fisher	HyPerforma-500L	2022-06-01	2026-08-01	2026-02-01	active	LINE-B	Building-2	2026-07-01 08:00
LEX-RCTR-04	Bioreactor 4 South Wing	Bioreactor	Thermo Fisher	HyPerforma-500L	2022-06-01	2026-07-05	2025-12-05	under_maintenance	LINE-B	Building-2	2026-07-10 06:00
LEX-FILL-01	Filling Line 1	Filling Machine	Optima	VFVM-200	2021-09-10	2026-10-01	2026-04-01	active	LINE-A	Building-3	2026-07-01 08:00
LEX-FILL-02	Filling Line 2	Filling Machine	Optima	VFVM-200	2021-09-10	2026-11-15	2026-05-15	active	LINE-A	Building-3	2026-07-01 08:00
LEX-FILL-03	Filling Line 3 High Speed	Filling Machine	Bausch+Stroebel	FXS3500	2024-01-20	2027-01-20	2026-06-20	active	LINE-C	Building-3	2026-07-01 08:00
LEX-LYO-01	Lyophilizer 1	Lyophilizer	IMA Life	Lyomax-20	2020-11-01	2026-07-25	2026-01-25	active	LINE-B	Building-4	2026-07-01 08:00
LEX-LYO-02	Lyophilizer 2	Lyophilizer	IMA Life	Lyomax-20	2020-11-01	2026-12-10	2026-06-10	active	LINE-C	Building-4	2026-07-01 08:00
LEX-MIX-01	Mixing Tank 1	Mixing Tank	GEA	UltimaPro-300	2019-05-15	2026-08-20	2026-02-20	active	LINE-A	Building-1	2026-07-01 08:00
LEX-MIX-02	Mixing Tank 2	Mixing Tank	GEA	UltimaPro-300	2019-05-15	2026-09-05	2026-03-05	active	LINE-B	Building-1	2026-07-01 08:00
LEX-FILT-01	Filtration Unit 1	Filtration	Pall Corporation	Allegro-MVP	2022-02-28	2026-10-15	2026-04-15	active	LINE-A	Building-2	2026-07-01 08:00
LEX-FILT-02	Filtration Unit 2	Filtration	Pall Corporation	Allegro-MVP	2022-02-28	2026-11-01	2026-05-01	active	LINE-B	Building-2	2026-07-01 08:00
LEX-CIP-01	CIP Station 1	CIP System	Alfa Laval	SaniMatic-100	2018-07-01	2026-09-30	2026-03-30	active	LINE-A	Building-1	2026-07-01 08:00
LEX-CIP-02	CIP Station 2	CIP System	Alfa Laval	SaniMatic-100	2018-07-01	2026-10-15	2026-04-15	active	LINE-B	Building-1	2026-07-01 08:00
LEX-INCUB-01	Incubator 1	Incubator	Eppendorf	CelliGen-510	2023-08-15	2026-08-15	2026-02-15	active	LINE-A	Building-2	2026-07-01 08:00
LEX-INCUB-02	Incubator 2	Incubator	Eppendorf	CelliGen-510	2023-08-15	2027-02-15	2026-08-15	active	LINE-B	Building-2	2026-07-01 08:00
LEX-HOMO-01	Homogenizer 1	Homogenizer	GEA	Ariete-7	2021-04-10	2026-07-10	2026-01-10	active	LINE-C	Building-3	2026-07-01 08:00
LEX-FREEZE-01	Ultra-Low Freezer Bank A	Freezer	Thermo Fisher	ULT-25	2020-01-15	2026-09-01	2026-03-01	active	STORAGE	Building-5	2026-07-01 08:00
LEX-FREEZE-02	Ultra-Low Freezer Bank B	Freezer	Thermo Fisher	ULT-25	2020-01-15	2026-09-20	2026-03-20	active	STORAGE	Building-5	2026-07-01 08:00
